Distance,B
1492,0.907574
1493,0.907603
1494,0.907631
1495,0.907660
1496,0.907688
1497,0.907717
1498,0.907745
1499,0.907774
1500,0.907802
1501,0.907830
1502,0.907859
1503,0.907887
1504,0.907915
1505,0.907944
1506,0.907972
1507,0.908000
1508,0.908029
1509,0.908057
1510,0.908085
1511,0.908113
1512,0.908141
1513,0.908170
1514,0.908198
1515,0.908226
1516,0.908254
1517,0.908282
1518,0.908310
1519,0.908338
1520,0.908366
1521,0.908394
1522,0.908422
1523,0.908450
1524,0.908478
1525,0.908506
1526,0.908534
1527,0.908562
1528,0.908590
1529,0.908618
1530,0.908646
1531,0.908673
1532,0.908701
1533,0.908729
1534,0.908757
1535,0.908785
1536,0.908812
1537,0.908840
1538,0.908868
1539,0.908895
1540,0.908923
1541,0.908951
1542,0.908978
1543,0.909006
1544,0.909034
1545,0.909061
1546,0.909089
1547,0.909116
1548,0.909144
1549,0.909171
1550,0.909199
1551,0.909226
1552,0.909254
1553,0.909281
1554,0.909309
1555,0.909336
1556,0.909364
1557,0.909391
1558,0.909418
1559,0.909446
1560,0.909473
1561,0.909500
1562,0.909528
1563,0.909555
1564,0.909582
1565,0.909609
1566,0.909637
1567,0.909664
1568,0.909691
1569,0.909718
1570,0.909745
1571,0.909773
1572,0.909800
1573,0.909827
1574,0.909854
1575,0.909881
1576,0.909908
1577,0.909935
1578,0.909962
1579,0.909989
1580,0.910016
1581,0.910043
1582,0.910070
1583,0.910097
1584,0.910124
1585,0.910151
1586,0.910178
1587,0.910205
1588,0.910231
1589,0.910258
1590,0.910285
1591,0.910312
1592,0.910339
1593,0.910365
1594,0.910392
1595,0.910419
1596,0.910446
1597,0.910472
1598,0.910499
1599,0.910526
1600,0.910552
1601,0.910579
1602,0.910606
1603,0.910632
1604,0.910659
1605,0.910685
1606,0.910712
1607,0.910738
1608,0.910765
1609,0.910791
1610,0.910818
1611,0.910844
1612,0.910871
1613,0.910897
1614,0.910924
1615,0.910950
1616,0.910977
1617,0.911003
1618,0.911029
1619,0.911056
1620,0.911082
1621,0.911108
1622,0.911135
1623,0.911161
1624,0.911187
1625,0.911213
1626,0.911240
1627,0.911266
1628,0.911292
1629,0.911318
1630,0.911344
1631,0.911370
1632,0.911397
1633,0.911423
1634,0.911449
1635,0.911475
1636,0.911501
1637,0.911527
1638,0.911553
1639,0.911579
1640,0.911605
1641,0.911631
1642,0.911657
1643,0.911683
1644,0.911709
1645,0.911735
1646,0.911761
1647,0.911787
1648,0.911813
1649,0.911838
1650,0.911864
1651,0.911890
1652,0.911916
1653,0.911942
1654,0.911967
1655,0.911993
1656,0.912019
1657,0.912045
1658,0.912070
1659,0.912096
1660,0.912122
1661,0.912147
1662,0.912173
1663,0.912199
1664,0.912224
1665,0.912250
1666,0.912276
1667,0.912301
1668,0.912327
1669,0.912352
1670,0.912378
1671,0.912403
1672,0.912429
1673,0.912454
1674,0.912480
1675,0.912505
1676,0.912531
1677,0.912556
1678,0.912582
1679,0.912607
1680,0.912632
1681,0.912658
1682,0.912683
1683,0.912708
1684,0.912734
1685,0.912759
1686,0.912784
1687,0.912810
1688,0.912835
1689,0.912860
1690,0.912885
1691,0.912911
1692,0.912936
1693,0.912961
1694,0.912986
1695,0.913011
1696,0.913036
1697,0.913062
1698,0.913087
1699,0.913112
1700,0.913137
1701,0.913162
1702,0.913187
1703,0.913212
1704,0.913237
1705,0.913262
1706,0.913287
1707,0.913312
1708,0.913337
1709,0.913362
1710,0.913387
1711,0.913412
1712,0.913437
1713,0.913461
1714,0.913486
1715,0.913511
1716,0.913536
1717,0.913561
1718,0.913586
1719,0.913610
1720,0.913635
1721,0.913660
1722,0.913685
1723,0.913710
1724,0.913734
1725,0.913759
1726,0.913784
1727,0.913808
1728,0.913833
1729,0.913858
1730,0.913882
1731,0.913907
1732,0.913932
1733,0.913956
1734,0.913981
1735,0.914005
1736,0.914030
1737,0.914054
1738,0.914079
1739,0.914103
1740,0.914128
1741,0.914152
1742,0.914177
1743,0.914201
1744,0.914226
1745,0.914250
1746,0.914275
1747,0.914299
1748,0.914323
1749,0.914348
1750,0.914372
1751,0.914396
1752,0.914421
1753,0.914445
1754,0.914469
1755,0.914494
1756,0.914518
1757,0.914542
1758,0.914566
1759,0.914591
1760,0.914615
1761,0.914639
1762,0.914663
1763,0.914687
1764,0.914711
1765,0.914736
1766,0.914760
1767,0.914784
1768,0.914808
1769,0.914832
1770,0.914856
1771,0.914880
1772,0.914904
1773,0.914928
1774,0.914952
1775,0.914976
1776,0.915000
1777,0.915024
1778,0.915048
1779,0.915072
1780,0.915096
1781,0.915120
1782,0.915144
1783,0.915168
1784,0.915192
1785,0.915215
1786,0.915239
1787,0.915263
1788,0.915287
1789,0.915311
1790,0.915334
1791,0.915358
1792,0.915382
1793,0.915406
1794,0.915429
1795,0.915453
1796,0.915477
1797,0.915501
1798,0.915524
1799,0.915548
1800,0.915572
1801,0.915595
1802,0.915619
1803,0.915643
1804,0.915666
1805,0.915690
1806,0.915713
1807,0.915737
1808,0.915760
1809,0.915784
1810,0.915807
1811,0.915831
1812,0.915854
1813,0.915878
1814,0.915901
1815,0.915925
1816,0.915948
1817,0.915972
1818,0.915995
1819,0.916018
1820,0.916042
1821,0.916065
1822,0.916089
1823,0.916112
1824,0.916135
1825,0.916159
1826,0.916182
1827,0.916205
1828,0.916228
1829,0.916252
1830,0.916275
1831,0.916298
1832,0.916321
1833,0.916345
1834,0.916368
1835,0.916391
1836,0.916414
1837,0.916437
1838,0.916461
1839,0.916484
1840,0.916507
1841,0.916530
1842,0.916553
1843,0.916576
1844,0.916599
1845,0.916622
1846,0.916645
1847,0.916668
1848,0.916691
1849,0.916714
1850,0.916737
1851,0.916760
1852,0.916783
1853,0.916806
1854,0.916829
1855,0.916852
1856,0.916875
1857,0.916898
1858,0.916921
1859,0.916944
1860,0.916967
1861,0.916989
1862,0.917012
1863,0.917035
1864,0.917058
1865,0.917081
1866,0.917103
1867,0.917126
1868,0.917149
1869,0.917172
1870,0.917194
